State,Education_Status,Gender,Age_group,target
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,no
A & N Islands,Graduate,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,No Education,Male,0-100+,yes
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,No Education,Female,0-100+,no
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Primary,Female,0-100+,no
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,no
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Graduate,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,No Education,Male,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Post Graduate and Above,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Diploma,Female,0-100+,no
A & N Islands,No Education,Female,0-100+,yes
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Female,0-100+,yes
A & N Islands,Matriculate/Secondary,Female,0-100+,yes
A & N Islands,Graduate,Female,0-100+,yes
A & N Islands,Middle,Female,0-100+,yes
A & N Islands,Primary,Female,0-100+,yes
A & N Islands,Post Graduate and Above,Female,0-100+,no
A & N Islands,Hr. Secondary/Intermediate/Pre-Universit,Male,0-100+,yes
A & N Islands,Middle,Male,0-100+,yes
A & N Islands,Diploma,Male,0-100+,no
A & N Islands,Primary,Male,0-100+,yes
A & N Islands,Matriculate/Secondary,Male,0-100+,yes
A & N Islands,Graduate,Male,0-100+,yes
