State,Social_Status,Gender,Age_group,target
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Divorcee,Male,0-100+,yes
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Widowed/Widower,Male,0-100+,yes
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Seperated,Male,0-100+,no
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,yes
A & N Islands,Divorcee,Male,0-100+,yes
A & N Islands,Seperated,Male,0-100+,yes
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Widowed/Widower,Male,0-100+,yes
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,yes
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Seperated,Male,0-100+,yes
A & N Islands,Never Married,Female,0-100+,yes
A & N Islands,Divorcee,Female,0-100+,no
A & N Islands,Seperated,Female,0-100+,no
A & N Islands,Widowed/Widower,Female,0-100+,no
A & N Islands,Married,Female,0-100+,yes
A & N Islands,Married,Male,0-100+,yes
A & N Islands,Widowed/Widower,Male,0-100+,no
A & N Islands,Never Married,Male,0-100+,yes
A & N Islands,Divorcee,Male,0-100+,no
A & N Islands,Seperated,Male,0-100+,no
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Divorcee,Male,0-100+,yes
Andhra Pradesh,Widowed/Widower,Male,0-100+,yes
Andhra Pradesh,Seperated,Male,0-100+,yes
Andhra Pradesh,Married,Male,0-100+,yes
Andhra Pradesh,Never Married,Male,0-100+,yes
Andhra Pradesh,Married,Female,0-100+,yes
Andhra Pradesh,Widowed/Widower,Female,0-100+,yes
Andhra Pradesh,Never Married,Female,0-100+,yes
Andhra Pradesh,Divorcee,Female,0-100+,yes
Andhra Pradesh,Seperated,Female,0-100+,yes
